Serie,Descriere,D32,D46,D61,D76,D91,D107,D127,D146
101 050 21 30,50-21-30,,,O,O,,,,
101 060 21 30,60-21-30,,,O,O,,,,
101 070 21 30,70-21-30,,,O,O,,,,
101 050 31 30,50-31-30,,O,O,O,,,,
101 060 31 30,60-31-30,,O,O,O,,,,
101 070 31 30,70-31-30,,O,O,O,,,,
101 080 31 30,80-31-30,,O,O,O,,,,
101 090 31 30,90-31-30,,O,O,O,,,,
101 105 31 30,105-31-30,,O,O,O,,,,
101 050 31 50,50-31-50,,,O,O,O,,,
101 060 31 50,60-31-50,,,O,O,O,,,
101 070 31 50,70-31-50,,,O,O,O,,,
101 080 31 50,80-31-50,,,O,O,O,,,
101 090 31 50,90-31-50,,,O,O,O,,,
101 105 31 50,105-31-50,,,O,O,O,,,
101 115 31 50,115-31-50,,,O,O,O,,,
101 048 41 50,48-41-50,,O,O,O,O,,,
101 060 41 50,60-41-50,,O,O,O,O,,,
101 068 41 50,68-41-50,,O,O,O,O,,,
101 085 41 50,85-41-50,,O,O,O,O,,,
101 105 41 50,105-41-50,,O,O,O,O,,,
101 115 41 50,115-41-50,,O,O,O,O,,,
101 060 41 80,60-41-80,,,O,O,O,O,,
101 068 41 80,68-41-80,,,O,O,O,O,,
101 085 41 80,85-41-80,,,O,O,O,O,,
101 095 41 80,95-41-80,,,O,O,O,O,,
101 105 41 80,105-41-80,,,O,O,O,O,,
101 120 41 80,120-41-80,,,O,O,O,O,,
101 130 41 80,130-41-80,,,O,O,O,O,,
101 150 41 80,150-41-80,,,O,O,O,O,,
101 170 41 80,170-41-80,,,O,O,O,O,,
101 050 51 50,50-51-50,,O,O,O,O,O,,
101 070 51 50,70-51-50,,O,O,O,O,O,,
101 085 51 50,85-51-50,,O,O,O,O,O,,
101 115 51 50,115-51-50,,O,O,O,O,O,,
101 125 51 50,125-51-50,,O,O,O,O,O,,
101 150 51 50,150-51-50,,O,O,O,O,O,,
101 100 51 90,100-51-90,,,O,O,O,O,O,
101 125 51 90,125-51-90,,,O,O,O,O,O,
101 150 51 90,150-51-90,,,O,O,O,O,O,
101 185 51 90,185-51-90,,,O,O,O,O,O,
101 215 51 90,215-51-90,,,O,O,O,O,O,
